endTime,artistName,trackName,msPlayed
2024-01-16 11:57,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-16 11:59,Dayglow,Can I Call You Tonight?,67389
2024-01-16 12:00,Earl Sweatshirt,Riot!,3506
2024-01-16 12:00,Earl Sweatshirt,Riot!,66133
2024-01-16 12:00,Earl Sweatshirt,Riot!,6160
2024-01-16 12:00,Dayglow,Can I Call You Tonight?,1850
2024-01-16 12:01,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-16 12:05,Empire Of The Sun,To Her Door,235586
2024-01-16 12:10,NF,GONE,239879
2024-01-16 12:24,BROCKHAMPTON,SWIM,213375
2024-01-16 12:52,NF,GONE,20284
2024-01-16 12:52,NF,GONE,512
2024-01-16 12:56,BROCKHAMPTON,SWIM,213375
2024-01-16 14:28,Trippie Redd,A Feeling,37044
2024-01-16 14:30,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-16 14:33,Ellie Goulding,On My Mind,213445
2024-01-16 14:38,Dayglow,Can I Call You Tonight?,278769
2024-01-16 16:31,Empire Of The Sun,There’s No Need,93755
2024-01-16 16:33,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-16 16:37,Empire Of The Sun,High And Low,224840
2024-01-16 16:40,Juice WRLD,Fast,131900
2024-01-16 16:40,Empire Of The Sun,To Her Door,11460
2024-01-16 16:41,Jack Harlow,Tyler Herro,1610
2024-01-16 16:41,NF,GONE,1600
2024-01-16 16:46,Empire Of The Sun,There’s No Need,208426
2024-01-16 20:32,BROCKHAMPTON,SWIM,294603
2024-01-16 21:31,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-16 21:34,Empire Of The Sun,There’s No Need,208426
2024-01-16 21:38,BROCKHAMPTON,CASH,195200
2024-01-16 21:41,BROCKHAMPTON,GAMBA,202228
2024-01-16 21:45,Ellie Goulding,On My Mind,213445
2024-01-16 21:48,BROCKHAMPTON,SWIM,94475
2024-01-16 23:19,BROCKHAMPTON,SWIM,26686
2024-01-17 07:40,21 Savage,redrum,270697
2024-01-17 07:45,21 Savage,redrum,270697
2024-01-17 07:49,21 Savage,redrum,270697
2024-01-17 07:54,21 Savage,redrum,11700
